,block_id,previous_solution,timeout,model_found,shown_optimal,outcome,solver_time_in_sec,initial_n_instrs,initial_estimated_size,initial_estimated_gas,initial_length,saved_length,saved_size,saved_gas,solution_found,optimized_n_instrs,optimized_length,optimized_estimated_size,optimized_estimated_gas,checker,reason
0,EthPriceMintModule_run_code_of_0_block_118_0_inputSTACKDEPS,PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP2 AND DUP2 EQ PUSH [tag] 109,10,True,True,model,0.32,10,15,30,10,0,1,0,PUSH 1 DUP1 PUSH a0 SHL SUB DUP2 AND DUP2 EQ PUSH [tag] 109,10.0,10.0,14.0,30.0,True,
1,EthPriceMintModule_run_code_of_0_block_2_0_input,DUP1 PUSH 2cdf2c35 EQ PUSH [tag] 4,10,True,True,model,0.12,4,10,12,4,0,0,0,DUP1 PUSH 2cdf2c35 EQ PUSH [tag] 4,4.0,4.0,10.0,12.0,True,
2,EthPriceMintModule_run_code_of_0_block_52_0_input,PUSH0 PUSH [tag] 69 PUSH [tag] 70,10,True,True,model,0.08,3,7,8,3,0,0,0,PUSH [tag] 69 PUSH [tag] 70 PUSH0,3.0,3.0,7.0,8.0,True,
3,EthPriceMintModule_run_code_of_0_block_100_0_inputSTACKDEPS,POP PUSH 20 DUP3 LT ISZERO,10,True,True,model,0.12,5,6,14,5,0,0,0,POP PUSH 20 DUP3 LT ISZERO,5.0,5.0,6.0,14.0,True,
4,EthPriceMintModule_run_code_of_0_block_28_0_input,CALLVALUE DUP1 ISZERO PUSH [tag] 33,10,True,True,model,0.09,4,6,11,4,0,0,1,CALLVALUE ISZERO PUSH [tag] 33 CALLVALUE,4.0,4.0,6.0,10.0,True,
5,EthPriceMintModule_run_code_of_0_block_33_0_input,CALLVALUE DUP1 ISZERO PUSH [tag] 40,10,True,True,model,0.08,4,6,11,4,0,0,0,CALLVALUE PUSH [tag] 40 DUP2 ISZERO,4.0,4.0,6.0,11.0,True,
6,EthPriceMintModule_run_code_of_0_block_30_0_input,POP PUSH [tag] 34 PUSH [tag] 35 CALLDATASIZE PUSH 4 PUSH [tag] 36,10,True,True,model,0.17,6,13,16,6,0,0,0,POP PUSH [tag] 36 PUSH [tag] 34 CALLDATASIZE PUSH 4 PUSH [tag] 35,6.0,6.0,13.0,16.0,True,
7,EthPriceMintModule_run_code_of_0_block_46_2_input,ISZERO DUP1 ISZERO PUSH [tag] 61,10,True,True,model,0.09,4,6,12,4,0,0,0,ISZERO DUP1 ISZERO PUSH [tag] 61,4.0,4.0,6.0,12.0,True,
8,EthPriceMintModule_run_code_of_0_block_6_0_input,DUP1 PUSH f851a440 EQ PUSH [tag] 8,10,True,True,model,0.1,4,10,12,4,0,0,0,DUP1 PUSH f851a440 EQ PUSH [tag] 8,4.0,4.0,10.0,12.0,True,
9,EthPriceMintModule_run_code_of_0_block_101_0_inputSTACKDEPS,DUP1 ISZERO PUSH [tag] 148,10,True,True,model,0.08,3,5,9,3,0,0,0,PUSH [tag] 148 DUP2 ISZERO,3.0,3.0,5.0,9.0,True,
