,block_id,previous_solution,timeout,model_found,shown_optimal,outcome,solver_time_in_sec,initial_n_instrs,initial_estimated_size,initial_estimated_gas,initial_length,saved_length,saved_size,saved_gas,solution_found,optimized_n_instrs,optimized_length,optimized_estimated_size,optimized_estimated_gas,forves_checker
0,ejemplo_subs,DUP2 DUP2 SUB SWAP2 SUB,10,True,True,model,0.08,5,5,15,5,0,0,0,DUP2 DUP2 SUB SWAP2 SUB,5,5,5,15,true
1,ejemplo_repeated_add,DUP2 DUP2 ADD SWAP2 ADD,10,True,True,model,0.08,5,5,15,5,3,3,9,ADD DUP1,2,2,2,6,true
2,ejemplo_swap_pop,SWAP1 POP POP SWAP2,10,True,True,model,0.06,4,4,10,4,1,1,3,POP POP SWAP2,3,3,3,7,true
3,ejemplo_ac_sencillo,SWAP1 SWAP2 ADD ADD,10,True,True,model,0.08,4,4,12,4,3,3,9,ADD,1,1,1,3,false
4,ejemplo_reunion,POP PUSH0 DUP2 GT,10,True,True,model,0.07,4,4,10,4,0,0,0,POP PUSH0 DUP2 GT,4,4,4,10,true
5,ejemplo_swap_add,SWAP1 ADD,10,True,True,model,0.06,2,2,6,2,1,1,3,ADD,1,1,1,3,true
6,ejemplo_dups,DUP1 DUP3 DUP2,10,True,True,model,0.06,3,3,9,3,0,0,0,DUP1 DUP3 DUP3,3,3,3,9,true
7,memory_deps,MLOAD PUSH 40 MSTORE,10,True,True,model,0.06,3,4,9,3,0,0,0,MLOAD PUSH 40 MSTORE,3,3,4,9,true
8,ejemplo_swaps,SWAP3 SWAP1 SWAP3 SWAP2,10,True,True,model,0.06,4,4,12,4,0,0,0,SWAP2 SWAP3 SWAP1 SWAP3,4,4,4,12,true
9,ejemplo_dup_swap_pop,POP DUP1 SWAP2,10,True,True,model,0.06,3,3,8,3,0,0,0,POP DUP1 SWAP2,3,3,3,8,true
10,memory_no_deps,PUSH 20 MLOAD PUSH 40 MSTORE,10,True,True,model,0.08,4,6,12,4,0,0,0,PUSH 20 MLOAD PUSH 40 MSTORE,4,4,6,12,true
11,ejemplo_callvalue_iszero,CALLVALUE ISZERO CALLVALUE ISZERO,10,True,True,model,0.06,4,4,10,4,1,1,2,CALLVALUE ISZERO DUP1,3,3,3,8,true
12,memory_optimizable,SWAP1 PUSH 20 MSTORE PUSH 40 MSTORE,10,True,True,model,0.09,5,7,15,5,1,1,3,PUSH 40 MSTORE PUSH 20 MSTORE,4,4,6,12,true
13,ejemplo_push_iszero,PUSH 1 DUP2 ISZERO SWAP2 ISZERO,10,True,True,model,0.07,5,6,15,5,2,2,6,ISZERO PUSH 1 DUP2,3,3,4,9,true
14,ejemplo_ac,DUP1 DUP3 ADD SWAP3 ADD ADD,10,True,True,model,0.11,6,6,18,6,1,1,3,DUP2 DUP2 ADD SWAP3 ADD,5,5,5,15,false
15,ejemplo_add_sub,SWAP1 ADD SWAP1 SUB,10,True,True,model,0.08,4,4,12,4,1,1,3,ADD SWAP1 SUB,3,3,3,9,true
