,block_id,previous_solution,timeout,model_found,shown_optimal,outcome,solver_time_in_sec,initial_n_instrs,initial_estimated_size,initial_estimated_gas,initial_length,saved_length,saved_size,saved_gas,checker,reason,solution_found,optimized_n_instrs,optimized_length,optimized_estimated_size,optimized_estimated_gas
0,memory_deps,MLOAD PUSH 40 MSTORE,10,False,False,unsat,0.15,3,4,9,3,0,0,0,True,,,,,,
1,ejemplo_subs,DUP2 DUP2 SUB SWAP2 SUB,10,True,True,model,0.2,5,5,15,5,0,0,0,True,,DUP2 DUP2 SUB SWAP2 SUB,5.0,5.0,5.0,15.0
2,ejemplo_swaps,SWAP3 SWAP1 SWAP3 SWAP2,10,True,True,model,0.15,4,4,12,4,0,0,0,True,,SWAP3 SWAP1 SWAP3 SWAP2,4.0,4.0,4.0,12.0
3,ejemplo_swap_pop,SWAP1 POP POP SWAP2,10,True,True,model,0.17,4,4,10,4,1,1,3,True,,POP POP SWAP2,3.0,3.0,3.0,7.0
4,ejemplo_swap_add,SWAP1 ADD,10,True,True,model,0.15,2,2,6,2,1,1,3,True,,ADD,1.0,1.0,1.0,3.0
5,ejemplo_push_iszero,PUSH 1 DUP2 ISZERO SWAP2 ISZERO,10,True,True,model,0.17,5,6,15,5,2,2,6,True,,ISZERO PUSH 1 DUP2,3.0,3.0,4.0,9.0
6,memory_no_deps,PUSH 20 MLOAD PUSH 40 MSTORE,10,True,True,model,0.18,4,6,12,4,0,0,0,True,,PUSH 20 MLOAD PUSH 40 MSTORE,4.0,4.0,6.0,12.0
7,memory_optimizable,SWAP1 PUSH 20 MSTORE PUSH 40 MSTORE,10,True,True,model,0.21,5,7,15,5,1,1,3,True,,PUSH 40 MSTORE PUSH 20 MSTORE,4.0,4.0,6.0,12.0
8,ejemplo_repeated_add,DUP2 DUP2 ADD SWAP2 ADD,10,True,True,model,0.18,5,5,15,5,3,3,9,True,,ADD DUP1,2.0,2.0,2.0,6.0
9,ejemplo_add_sub,SWAP1 ADD SWAP1 SUB,10,True,True,model,0.21,4,4,12,4,1,1,3,True,,ADD SWAP1 SUB,3.0,3.0,3.0,9.0
10,ejemplo_callvalue_iszero,CALLVALUE ISZERO CALLVALUE ISZERO,10,True,True,model,0.17,4,4,10,4,1,1,2,True,,CALLVALUE ISZERO DUP1,3.0,3.0,3.0,8.0
11,ejemplo_ac_sencillo,SWAP1 SWAP2 ADD ADD,10,True,True,model,0.18,4,4,12,4,2,2,6,True,,ADD ADD,2.0,2.0,2.0,6.0
12,ejemplo_reunion,POP PUSH0 DUP2 GT,10,True,True,model,0.17,4,4,10,4,0,0,0,True,,POP PUSH0 DUP2 GT,4.0,4.0,4.0,10.0
13,ejemplo_ac,DUP1 DUP3 ADD SWAP3 ADD ADD,10,True,True,model,0.25,6,6,18,6,0,0,0,True,,DUP1 DUP3 ADD SWAP3 ADD ADD,6.0,6.0,6.0,18.0
14,ejemplo_dups,DUP1 DUP3 DUP2,10,True,True,model,0.14,3,3,9,3,0,0,0,True,,DUP1 DUP3 DUP3,3.0,3.0,3.0,9.0
15,ejemplo_dup_swap_pop,POP DUP1 SWAP2,10,True,True,model,0.18,3,3,8,3,0,0,0,True,,POP DUP1 SWAP2,3.0,3.0,3.0,8.0
