,block_id,previous_solution,timeout,model_found,shown_optimal,outcome,solver_time_in_sec,initial_n_instrs,initial_estimated_size,initial_estimated_gas,initial_length,saved_length,saved_size,saved_gas,solution_found,optimized_n_instrs,optimized_length,optimized_estimated_size,optimized_estimated_gas,checker,reason
0,EthPriceMintModule_run_code_of_0_block_99_1_input,SWAP3 POP RETURNDATASIZE SWAP2 POP PUSH0 MLOAD SWAP1 POP DUP3 DUP1 ISZERO PUSH [tag] 147,10,True,True,model,7.21,13,15,34,13,2,2,6,SWAP3 POP POP POP RETURNDATASIZE PUSH0 MLOAD DUP3 DUP1 ISZERO PUSH [tag] 147,11.0,11.0,13.0,28.0,True,
1,EthPriceMintModule_run_code_of_0_block_41_0_input,PUSH 40 MLOAD DUP1 SWAP2 SUB SWAP1,10,True,True,model,0.24,6,7,18,6,0,0,0,PUSH 40 MLOAD DUP1 SWAP2 SUB SWAP1,6.0,6.0,7.0,18.0,True,
2,EthPriceMintModule_run_code_of_0_block_47_0_input,RETURNDATASIZE PUSH0 DUP1,10,True,True,model,0.18,3,3,7,3,0,0,0,RETURNDATASIZE PUSH0 DUP1,3.0,3.0,3.0,7.0,True,
3,EthPriceMintModule_run_code_of_0_block_48_0_input,POP POP POP POP DUP2 PUSH 1 PUSH 1 PUSH a0 SHL SUB AND DUP4 PUSH 1 PUSH 1 PUSH a0 SHL SUB AND PUSH 82f9a833433b7c1a528eb33f949fe31f35aafd7acb1969ea900f8958f6f8bf9e DUP4 PUSH 40 MLOAD PUSH [tag] 52 SWAP2 DUP2 MSTORE PUSH 20 ADD SWAP1,10,False,False,unsat,4.1,29,71,83,29,0,0,0,,,,,,True,
4,EthPriceMintModule_run_code_of_0_block_42_0_input,PUSH 1 SLOAD PUSH 1 PUSH 1 PUSH a0 SHL SUB AND CALLER EQ PUSH [tag] 54,10,False,False,unsat,1.0,11,17,2129,11,0,0,0,,,,,,True,
5,EthPriceMintModule_run_code_of_0_block_101_0_input,DUP1 ISZERO PUSH [tag] 148,10,True,True,model,0.16,3,5,9,3,0,0,0,DUP1 ISZERO PUSH [tag] 148,3.0,3.0,5.0,9.0,True,
6,EthPriceMintModule_run_code_of_0_block_62_0_input,PUSH 60 SWAP2 POP,10,True,True,model,0.19,3,4,8,3,0,0,0,PUSH 60 SWAP2 POP,3.0,3.0,4.0,8.0,True,
7,EthPriceMintModule_run_code_of_0_block_65_0_input,PUSH 40 MLOAD PUSH 6b978f77 PUSH e0 SHL DUP2 MSTORE CALLER PUSH 4 DUP3 ADD MSTORE PUSH 24 DUP2 ADD DUP6 SWAP1 MSTORE PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP7 AND SWAP1 PUSH 6b978f77 SWAP1 PUSH 44 ADD PUSH 20 PUSH 40 MLOAD DUP1 DUP4 SUB DUP2 PUSH0 DUP8,10,False,False,unsat,12.62,39,57,115,39,0,0,0,,,,,,True,
8,EthPriceMintModule_run_code_of_0_block_68_0_input,POP PUSH 40 MLOAD DUP5 DUP2 MSTORE CALLER SWAP1 PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP8 AND SWAP1 PUSH 9d228d69b5fdb8d273a2336f8fb8612d039631024ea9bf09c424a9503aa078f0 SWAP1 PUSH 20 ADD PUSH 40 MLOAD DUP1 SWAP2 SUB SWAP1,10,False,False,unsat,3.41,26,64,76,26,0,0,0,,,,,,True,
9,EthPriceMintModule_run_code_of_0_block_87_0_input,PUSH [tag] 102,10,True,True,model,0.17,1,3,3,1,0,0,0,PUSH [tag] 102,1.0,1.0,3.0,3.0,True,
10,EthPriceMintModule_run_code_of_0_block_148_0_input,POP POP POP POP,10,True,True,model,0.18,4,4,8,4,0,0,0,POP POP POP POP,4.0,4.0,4.0,8.0,True,
11,EthPriceMintModule_run_code_of_0_block_84_0_input,PUSH0 PUSH [tag] 124 DUP3 PUSH 40 MLOAD DUP1 PUSH 40 ADD PUSH 40 MSTORE DUP1 PUSH 20 DUP2 MSTORE PUSH 20 ADD PUSH 5361666545524332303a206c6f772d6c6576656c2063616c6c206661696c6564 DUP2 MSTORE POP DUP6 PUSH 1 PUSH 1 PUSH a0 SHL SUB AND PUSH [tag] 125 SWAP1 SWAP3 SWAP2 SWAP1 PUSH ffffffff AND,10,False,False,unsat,6.74,34,82,100,34,0,0,0,,,,,,True,
12,EthPriceMintModule_run_code_of_0_block_144_0_input,DUP4 DUP2 LT ISZERO PUSH [tag] 219,10,True,True,model,0.23,5,7,15,5,0,0,0,DUP4 DUP2 LT ISZERO PUSH [tag] 219,5.0,5.0,7.0,15.0,True,
13,EthPriceMintModule_run_code_of_0_block_2_0_input,DUP1 PUSH 2cdf2c35 EQ PUSH [tag] 4,10,True,True,model,0.25,4,10,12,4,0,0,0,DUP1 PUSH 2cdf2c35 EQ PUSH [tag] 4,4.0,4.0,10.0,12.0,True,
