,block_id,previous_solution,timeout,model_found,shown_optimal,outcome,solver_time_in_sec,initial_n_instrs,initial_estimated_size,initial_estimated_gas,initial_length,saved_length,saved_size,saved_gas,solution_found,optimized_n_instrs,optimized_length,optimized_estimated_size,optimized_estimated_gas,checker,reason
0,a918358b-fa4d-442a-aa82-79c889,MUL MLOAD MUL DUP1 SWAP3,10,TRUE,TRUE,model,0.22,5,5,19,5,0,0,0,MUL MLOAD MUL DUP1 SWAP3,5,5,5,19,TRUE,
1,170b68de-768b-4c47-ae43-6667c6,MUL SWAP3 MUL MUL,10,TRUE,TRUE,model,0.19,4,4,18,4,0,0,0,MUL SWAP3 MUL MUL,4,4,4,18,TRUE,
2,f65873a6-22e1-4a7d-b8da-23a3e6,ADD SWAP2 DUP1 DUP3 SWAP3 SWAP1 DUP1 MUL MLOAD ADD MUL SWAP1 SWAP3 ADD DUP3,10,TRUE,TRUE,model,2.49,15,15,49,15,2,2,6,ADD SWAP2 DUP2 SWAP4 SWAP2 DUP2 DUP3 MUL MLOAD ADD MUL ADD DUP3,13,13,13,43,TRUE,
3,f29eda3a-ec08-41e7-a021-09ecbb,DUP1 DUP4 ADD MLOAD PUSH 1 ADD ADD SWAP1,10,TRUE,TRUE,model,0.3,8,9,24,8,0,0,0,PUSH 1 DUP4 DUP3 ADD MLOAD ADD ADD SWAP1,8,8,9,24,TRUE,
4,c84960aa-7de9-4a72-beb9-420e0e,DUP3 DUP3 SUB DUP3 DUP3 MSTORE ADD SWAP3 SUB ADD ADD,10,TRUE,TRUE,model,0.4,11,11,33,11,0,0,0,DUP3 DUP3 DUP4 DUP4 MSTORE SUB ADD SWAP3 SUB ADD ADD,11,11,11,33,TRUE,
5,a402dc28-5a99-4fa7-88d5-0ae5c6,MSTORE SWAP2 MUL MUL ADD DUP1 SUB SWAP1 DUP3 DUP1 MUL,10,FALSE,FALSE,unsat,3.23,11,11,39,11,0,0,0,,,,,,TRUE,
6,7ffb190b-f6ee-4f35-a1ef-37b6be,POP POP POP PUSH0,10,TRUE,TRUE,model,0.15,4,4,8,4,0,0,0,POP POP POP PUSH0,4,4,4,8,TRUE,
7,2d006d3e-060f-47de-a968-ba7ca7,SWAP2 PUSH 1 ADD PUSH 1 MLOAD ADD SWAP2 PUSH0 SUB SWAP1 MLOAD ADD PUSH 1 PUSH 1,10,TRUE,TRUE,model,1.24,14,18,41,14,0,2,0,PUSH0 SUB SWAP1 MLOAD ADD SWAP1 PUSH 1 DUP1 MLOAD ADD ADD SWAP1 PUSH 1 DUP1,14,14,16,41,TRUE,
8,2e07bece-4f5e-43a4-976b-77657e,PUSH 1 MSTORE MUL MSTORE SUB ADD ADD PUSH 1 MLOAD DUP3,10,TRUE,TRUE,model,0.58,10,12,32,10,0,0,0,PUSH 1 MSTORE MUL MSTORE SUB ADD ADD PUSH 1 MLOAD DUP3,10,10,12,32,TRUE,
9,3ea4e1c0-d5ab-4892-9f95-e09492,MLOAD PUSH 1 MUL ADD PUSH 1 SWAP2 DUP3 SWAP2 ADD MUL SWAP3 DUP1 DUP1 ADD SWAP1 DUP2 SUB SWAP1 SWAP2 PUSH 1,10,TRUE,TRUE,model,90.47,20,23,64,20,8,10,28,MLOAD DUP5 DUP1 ADD SWAP3 ADD ADD SWAP3 DUP2 SUB PUSH 1 DUP1,12,12,13,36,TRUE,
10,628fc30d-51dc-4028-ade9-4544bc,DUP2 MSTORE DUP1 ADD DUP1 DUP2 SWAP3 ADD MSTORE SUB,10,TRUE,TRUE,model,0.47,10,10,30,10,0,0,0,DUP2 MSTORE DUP1 ADD DUP1 DUP1 SWAP3 ADD MSTORE SUB,10,10,10,30,TRUE,
11,ba62357b-0fa7-4da2-94a4-6c8aac,SWAP1 MSTORE SWAP2 MLOAD SWAP5 SWAP6 DUP7 MSTORE MUL ADD SWAP1 MLOAD SWAP2 ADD,10,TRUE,TRUE,model,1.97,14,14,44,14,1,1,3,SWAP1 MSTORE MUL SWAP1 MLOAD ADD ADD SWAP2 SWAP3 DUP4 MSTORE MLOAD SWAP1,13,13,13,41,TRUE,
12,3b280eeb-2497-439a-8e18-3f5a99,SUB ADD DUP2 MUL MLOAD MLOAD MUL SWAP1 ADD DUP3 DUP3 SWAP2 PUSH 1 MSTORE SWAP2 MLOAD,10,TRUE,TRUE,model,8.57,16,17,52,16,2,2,6,SUB ADD DUP2 MUL MLOAD MLOAD MUL ADD PUSH 1 MSTORE DUP1 DUP3 SWAP2 MLOAD,14,14,15,46,TRUE,
13,8aac26bc-2d4e-488e-adfb-002fa7,SUB PUSH 1 DUP1 MSTORE PUSH 1 ADD MUL,10,TRUE,TRUE,model,0.27,7,9,23,7,0,1,0,SUB PUSH 1 DUP1 DUP1 MSTORE ADD MUL,7,7,8,23,TRUE,
14,b0201af8-1e60-46e3-bce9-37eab9,MUL SUB SWAP2 MUL ADD DUP2 DUP2,10,TRUE,TRUE,model,0.26,7,7,25,7,0,0,0,MUL SUB SWAP2 MUL ADD DUP2 DUP2,7,7,7,25,TRUE,
15,13f8ec31-2a47-432c-9067-9649e6,SWAP1 MLOAD MUL SWAP1 SWAP3 MSTORE PUSH 1 DUP3 SUB ADD MUL MUL SWAP2 SWAP3 SWAP2 SWAP2 DUP1 DUP1,10,TRUE,TRUE,model,273.54,18,19,60,18,2,2,6,DUP3 SWAP2 MLOAD MUL PUSH 1 SWAP3 SWAP5 MSTORE SUB ADD MUL MUL SWAP2 SWAP3 DUP1 DUP2,16,16,17,54,TRUE,
16,409552ce-aa29-4a96-8191-5b493d,MUL SWAP3 ADD SWAP1 MSTORE DUP2 MUL ADD SUB SWAP1,10,TRUE,TRUE,model,0.57,10,10,34,10,0,0,0,DUP6 MUL MUL SWAP3 ADD SWAP1 MSTORE ADD SUB SWAP1,10,10,10,34,TRUE,
17,5e26327a-8a63-4d63-8ee2-106c88,SWAP1 MUL PUSH 1 MSTORE MUL PUSH 1 MUL MSTORE SUB MUL PUSH 1 ADD DUP3 DUP1 PUSH 1 SWAP1 MUL PUSH 1 SWAP3 DUP3,10,FALSE,FALSE,no_model,300.27,20,25,70,20,0,0,0,,,,,,TRUE,
18,925d704b-bc2d-4382-9475-0a5de7,ADD MUL MUL MUL ADD DUP2 DUP3,10,TRUE,TRUE,model,0.31,7,7,27,7,0,0,0,ADD MUL MUL MUL ADD DUP2 DUP3,7,7,7,27,TRUE,
19,02cf6fb4-b751-405e-b353-0ce801,MUL MLOAD ADD DUP3 SUB MUL MSTORE MLOAD MUL,10,TRUE,TRUE,model,0.36,9,9,33,9,0,0,0,MUL MLOAD ADD DUP3 SUB MUL MSTORE MLOAD MUL,9,9,9,33,TRUE,
20,a71c4794-1208-46d0-8272-569b8d,SWAP3 MUL MUL ADD ADD ADD,10,TRUE,TRUE,model,0.28,6,6,22,6,0,0,0,SWAP3 MUL MUL ADD ADD ADD,6,6,6,22,TRUE,
21,c6417a1a-3cd7-42fc-a2cf-b741f8,PUSH 2 SWAP1 SUB MUL MUL ADD DUP3 MSTORE,10,TRUE,TRUE,model,0.34,8,9,28,8,0,0,0,PUSH 2 SWAP1 SUB MUL MUL ADD DUP3 MSTORE,8,8,9,28,TRUE,
22,e7ba8095-1fa5-4986-af13-68d0f0,ADD MSTORE MUL DUP2 ADD ADD MSTORE SWAP2,10,TRUE,TRUE,model,0.27,8,8,26,8,0,0,0,ADD MSTORE MUL DUP2 ADD ADD MSTORE SWAP2,8,8,8,26,TRUE,
23,12bee411-2026-4f39-9a92-289daa,SWAP3 ADD ADD MUL MUL PUSH 1 DUP1,10,TRUE,TRUE,model,0.24,7,8,25,7,0,0,0,SWAP3 ADD ADD MUL MUL PUSH 1 DUP1,7,7,8,25,TRUE,
24,4ecc493c-8040-4299-b132-d3a734,ADD DUP1 ADD ADD DUP3 SWAP1 DUP3,10,TRUE,TRUE,model,0.25,7,7,21,7,0,0,0,ADD DUP1 ADD ADD DUP3 SWAP1 DUP3,7,7,7,21,TRUE,
25,3adefa1d-cde5-4e6f-b8e5-2e6adb,DUP1 SWAP2 MUL MUL DUP2 MUL,10,TRUE,TRUE,model,0.19,6,6,24,6,1,1,3,DUP1 DUP4 MUL MUL MUL,5,5,5,21,TRUE,
26,bc9c9b0b-f020-4c52-8bef-cdff82,ADD,10,TRUE,TRUE,model,0.11,1,1,3,1,0,0,0,ADD,1,1,1,3,TRUE,
27,1dbec215-f89e-42a7-b362-60969a,MLOAD MSTORE MUL ADD PUSH 1 DUP1 DUP2 MSTORE,10,TRUE,TRUE,model,0.35,8,9,26,8,0,0,0,MLOAD MSTORE MUL ADD PUSH 1 DUP1 DUP2 MSTORE,8,8,9,26,TRUE,
28,19ae11f8-ea4b-49ee-a2a5-288405,SWAP1 PUSH 1 MSTORE MUL DUP1 SWAP3 ADD DUP1 ADD,10,TRUE,TRUE,model,0.34,9,10,29,9,0,0,0,SWAP1 PUSH 1 MSTORE MUL DUP1 SWAP3 ADD DUP1 ADD,9,9,10,29,TRUE,
29,1afe8c04-1cea-4ee8-96cd-208a10,MSTORE SWAP2 PUSH 1 MUL DUP2 MUL SUB ADD DUP1 MSTORE ADD PUSH 1 MUL MSTORE SUB SWAP1 MUL SWAP1 DUP1 ADD,10,TRUE,TRUE,model,26.67,20,22,68,20,5,7,19,MSTORE SWAP2 DUP2 MUL SUB ADD DUP1 MSTORE ADD MSTORE SUB MUL SWAP1 DUP1 ADD,15,15,15,49,TRUE,
30,d79cc7ba-f056-4a99-bb8b-e5a7e0,MUL MUL PUSH 1 ADD ADD SUB MLOAD SWAP2 DUP2 SUB DUP1 SWAP2 ADD MUL DUP2 DUP1,10,TRUE,TRUE,model,10.06,16,17,54,16,0,0,0,MUL MUL PUSH 1 ADD ADD SUB MLOAD SWAP2 DUP2 SUB SWAP1 DUP2 ADD MUL DUP2 DUP1,16,16,17,54,TRUE,
31,f1b5ea68-c52d-43b3-96c4-3684ea,MUL SWAP3 PUSH 1 ADD MUL ADD MSTORE,10,TRUE,TRUE,model,0.28,7,8,25,7,0,0,0,MUL SWAP3 PUSH 1 ADD MUL ADD MSTORE,7,7,8,25,TRUE,
32,c1af1383-9971-4edb-b7eb-b6a643,MUL ADD PUSH 1 SWAP3 DUP3 SUB SWAP2 MLOAD ADD ADD SUB,10,TRUE,TRUE,model,0.45,11,12,35,11,0,0,0,MUL PUSH 1 SWAP4 DUP4 MLOAD SWAP4 SUB ADD ADD ADD SUB,11,11,12,35,TRUE,
33,f6ffa796-27a7-4131-95e6-f37f11,PUSH 1 DUP1 MLOAD ADD DUP5 DUP8 DUP7 SWAP9 MUL SWAP8 SWAP2 MUL MSTORE ADD DUP3 ADD ADD MSTORE ADD PUSH 1,10,TRUE,TRUE,model,273.67,20,22,64,20,2,2,6,DUP4 ADD ADD ADD DUP2 PUSH 1 DUP1 MLOAD ADD DUP2 MUL MSTORE MSTORE SWAP1 DUP1 MUL ADD PUSH 1,18,18,20,58,TRUE,
34,500a9683-f147-4a23-99a3-090f8a,SUB MUL ADD,10,TRUE,TRUE,model,0.09,3,3,11,3,0,0,0,SUB MUL ADD,3,3,3,11,TRUE,
35,74091195-b77b-4eda-a3fc-a30310,MUL MUL DUP3 MUL MSTORE SWAP3 MLOAD,10,TRUE,TRUE,model,0.21,7,7,27,7,0,0,0,MUL MUL DUP3 MUL MSTORE SWAP3 MLOAD,7,7,7,27,TRUE,
36,988a5e14-a4a9-4481-8795-280590,PUSH 1 ADD MSTORE ADD MUL MLOAD ADD DUP3,10,TRUE,TRUE,model,0.37,8,9,26,8,0,0,0,PUSH 1 ADD MSTORE ADD MUL MLOAD ADD DUP3,8,8,9,26,TRUE,
37,993eaaef-e9e2-4ac8-bfe9-1a1154,MUL MUL MLOAD DUP1 ADD DUP1 MSTORE ADD ADD ADD DUP1,10,TRUE,TRUE,model,0.97,11,11,37,11,0,0,0,MUL MUL MLOAD DUP1 ADD DUP1 MSTORE ADD ADD ADD DUP1,11,11,11,37,TRUE,
38,387fc5cf-4e46-484d-a47c-e1c65e,MUL ADD MSTORE SWAP2,10,TRUE,TRUE,model,0.2,4,4,14,4,0,0,0,MUL ADD MSTORE SWAP2,4,4,4,14,TRUE,
39,d6bfaeb5-edf2-4751-9525-bc4b6b,MUL SWAP1 DUP2 ADD DUP2 MUL,10,TRUE,TRUE,model,0.2,6,6,22,6,0,0,0,MUL DUP1 DUP1 SWAP3 ADD MUL,6,6,6,22,TRUE,
40,9ea204df-714b-40c2-8d36-f6f02d,MUL MUL MUL DUP1 SWAP2,10,TRUE,TRUE,model,0.18,5,5,21,5,0,0,0,MUL MUL MUL DUP1 SWAP2,5,5,5,21,TRUE,
41,904219cb-55f8-4ac4-a664-3d8950,SWAP2 DUP1 MUL ADD DUP3,10,TRUE,TRUE,model,0.19,5,5,17,5,0,0,0,SWAP2 DUP1 MUL ADD DUP3,5,5,5,17,TRUE,
42,823e7325-c7dc-4fdc-8987-852c83,MUL MLOAD DUP3 MLOAD SUB MLOAD MUL MSTORE MSTORE DUP1 ADD DUP2 MUL,10,TRUE,TRUE,model,1.38,13,13,45,13,0,0,0,MUL MLOAD DUP3 MLOAD SUB MLOAD MUL MSTORE MSTORE DUP1 ADD DUP2 MUL,13,13,13,45,TRUE,
43,37c47527-36d6-415b-b63a-a615b5,SUB MUL MLOAD MUL MLOAD SWAP1 DUP1 ADD DUP3 MSTORE DUP1 DUP3 MUL,10,TRUE,TRUE,model,1.66,13,13,45,13,0,0,0,SUB MUL MLOAD MUL MLOAD DUP3 DUP3 DUP3 SWAP4 ADD DUP5 MSTORE MUL,13,13,13,45,TRUE,
44,68e69ac3-eb4b-4519-9c10-5e564a,MSTORE MSTORE MUL MUL MUL,10,TRUE,TRUE,model,0.2,5,5,21,5,0,0,0,MSTORE MSTORE MUL MUL MUL,5,5,5,21,TRUE,
45,0ae36326-2016-4a3f-9a34-84a3af,PUSH 1 SUB MUL MSTORE SWAP2 DUP1 ADD DUP2 MLOAD MSTORE SUB DUP3 MSTORE,10,TRUE,TRUE,model,1.08,13,14,41,13,0,0,0,PUSH 1 SUB MUL MSTORE SWAP2 DUP1 ADD DUP2 MLOAD MSTORE SUB DUP3 MSTORE,13,13,14,41,TRUE,
46,02e7d978-8148-48a4-906d-02991e,SWAP3 MSTORE DUP3 MSTORE MUL MUL DUP1 DUP2 MUL SWAP2 PUSH 1 ADD,10,TRUE,TRUE,model,1.45,12,13,42,12,0,0,0,SWAP3 MSTORE DUP3 MSTORE MUL MUL DUP1 DUP2 MUL SWAP2 PUSH 1 ADD,12,12,13,42,TRUE,
