,block_id,previous_solution,timeout,model_found,shown_optimal,outcome,solver_time_in_sec,initial_n_instrs,initial_estimated_size,initial_estimated_gas,initial_length,saved_length,saved_size,saved_gas,solution_found,optimized_n_instrs,optimized_length,optimized_estimated_size,optimized_estimated_gas,checker,reason
0,0x32E6C34Cd57087aBBD59B5A4AECC4cB495924356_BitBase_run_code_of_0_block_219_0_input,DUP2 MLOAD DUP1 ISZERO ISZERO DUP2 EQ PUSH [tag] 317,10,TRUE,TRUE,model,0.21,8,10,24,8,0,0,0,DUP2 MLOAD PUSH [tag] 317 DUP2 DUP3 ISZERO ISZERO EQ,8,8,10,24,TRUE,
1,0x7d657Cf5Eb3d26658eC85de8Bf8b5E4d8D40F87C_DONOTBUY_run_code_of_0_block_307_0_input,PUSH 9 SLOAD ISZERO DUP1 ISZERO PUSH [tag] 401,10,TRUE,TRUE,model,0.2,6,9,2115,6,0,0,0,PUSH [tag] 401 PUSH 9 SLOAD ISZERO DUP1 ISZERO,6,6,9,2115,TRUE,
2,0x5552F868dB969c2e2cB90680257236f25CbEBb4F_EverShib_run_code_of_0_block_710_0_input,PUSH0 PUSH 1 DUP3 ADD PUSH [tag] 954,10,TRUE,TRUE,model,0.18,5,8,14,5,0,0,0,PUSH0 DUP2 PUSH 1 ADD PUSH [tag] 954,5,5,8,14,TRUE,
3,0x62AB956D616C25d7887e685Cf3299fBa8505e34b_SeriumInvesting_run_code_of_0_block_246_0_input,POP PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP4 AND PUSH0 SWAP1 DUP2 MSTORE PUSH 5 PUSH 20 MSTORE PUSH 40 SWAP1 KECCAK256 SLOAD PUSH ff AND,10,TRUE,FALSE,model,31.42,21,28,2185,21,1,2,3,PUSH 40 PUSH0 PUSH 5 PUSH 20 MSTORE DUP6 PUSH 1 DUP1 PUSH a0 SHL PUSH ff SWAP6 POP SUB AND DUP2 MSTORE KECCAK256 SLOAD AND,20,20,26,2182,TRUE,
4,0x62AB956D616C25d7887e685Cf3299fBa8505e34b_Ownable_run_code_of_0_block_0_0_input,PUSH 80 PUSH 40 MSTORE CALLVALUE DUP1 ISZERO PUSH [tag] 1,10,TRUE,TRUE,model,0.2,7,11,20,7,0,0,1,CALLVALUE PUSH 80 PUSH 40 MSTORE ISZERO PUSH [tag] 1 CALLVALUE,7,7,11,19,TRUE,
5,0x8C3c25474530DF10046f7cDc197571F353F5AcA0_CUPMinter_run_code_of_0_block_372_0_input,SWAP1 POP PUSH 4 SLOAD DUP2 LT ISZERO PUSH [tag] 591,10,TRUE,TRUE,model,0.3,8,11,2120,8,0,0,0,PUSH 4 SLOAD DUP2 LT ISZERO SWAP2 POP PUSH [tag] 591,8,8,11,2120,TRUE,
6,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_run_code_of_0_block_405_0_input,PUSH 1 PUSH 1 PUSH e0 SHL SUB NOT DUP2 AND DUP2 EQ PUSH [tag] 562,10,TRUE,TRUE,model,0.43,11,16,33,11,0,1,0,PUSH 1 DUP1 PUSH e0 SHL SUB NOT DUP2 AND DUP2 EQ PUSH [tag] 562,11,11,15,33,TRUE,
7,0x62AB956D616C25d7887e685Cf3299fBa8505e34b_SeriumInvesting_run_code_of_0_block_1_0_input,PUSH0 CALLDATALOAD PUSH e0 SHR DUP1 PUSH 8da5cb5b GT PUSH [tag] 23,10,TRUE,TRUE,model,0.32,8,15,23,8,0,0,0,PUSH0 CALLDATALOAD PUSH e0 SHR DUP1 PUSH 8da5cb5b GT PUSH [tag] 23,8,8,15,23,TRUE,
8,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_run_code_of_0_block_10_0_input,DUP1 PUSH a532ae77 EQ PUSH [tag] 25,10,TRUE,TRUE,model,0.17,4,10,12,4,0,0,0,DUP1 PUSH a532ae77 EQ PUSH [tag] 25,4,4,10,12,TRUE,
9,0x7d657Cf5Eb3d26658eC85de8Bf8b5E4d8D40F87C_DONOTBUY_run_code_of_0_block_386_0_input,PUSH0 PUSH 20 DUP3 DUP5 SUB SLT ISZERO PUSH [tag] 498,10,TRUE,TRUE,model,0.31,8,11,23,8,0,0,0,PUSH0 PUSH 20 DUP3 DUP5 SUB SLT ISZERO PUSH [tag] 498,8,8,11,23,TRUE,
10,0x32E6C34Cd57087aBBD59B5A4AECC4cB495924356_ERC20_run_code_of_0_block_37_0_input,PUSH [tag] 25 PUSH [tag] 59 CALLDATASIZE PUSH 4 PUSH [tag] 60,10,TRUE,TRUE,model,0.21,5,12,14,5,0,0,0,PUSH [tag] 25 PUSH [tag] 59 CALLDATASIZE PUSH 4 PUSH [tag] 60,5,5,12,14,TRUE,
11,0x32E6C34Cd57087aBBD59B5A4AECC4cB495924356_BitBase_initial_block_55_0_input,PUSH 2 DUP2 EQ PUSH [tag] 93,10,TRUE,TRUE,model,0.11,4,7,12,4,0,0,0,PUSH 2 DUP2 EQ PUSH [tag] 93,4,4,7,12,TRUE,
12,0x6488216d7aeC6AB3DbE55437704ab7731541a38a_SamuraiFinance_initial_block_25_0_input,DUP2 MLOAD PUSH 1 PUSH 1 PUSH 40 SHL SUB DUP2 GT ISZERO PUSH [tag] 49,10,TRUE,TRUE,model,0.69,11,16,33,11,0,1,0,DUP2 MLOAD PUSH 1 DUP1 PUSH 40 SHL SUB DUP2 GT ISZERO PUSH [tag] 49,11,11,15,33,TRUE,
13,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_run_code_of_0_block_67_0_input,PUSH [tag] 27 PUSH [tag] 105 CALLDATASIZE PUSH 4 PUSH [tag] 72,10,TRUE,TRUE,model,0.18,5,12,14,5,0,0,0,PUSH [tag] 27 PUSH [tag] 105 PUSH 4 CALLDATASIZE PUSH [tag] 72,5,5,12,14,TRUE,
14,0x5552F868dB969c2e2cB90680257236f25CbEBb4F_Ownable_run_code_of_0_block_35_0_input,PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 4 ADD PUSH [tag] 40 SWAP1 PUSH [tag] 41,10,TRUE,TRUE,model,5.3,12,22,36,12,1,1,3,PUSH [tag] 40 PUSH 40 MLOAD PUSH 4 PUSH 461bcd PUSH e5 SHL DUP3 MSTORE ADD PUSH [tag] 41,11,11,21,33,TRUE,
15,0x5552F868dB969c2e2cB90680257236f25CbEBb4F_EverShib_run_code_of_0_block_401_19_input,DUP3 SLOAD DUP1 DUP7 ADD DUP5 SSTORE DUP3 ADD DUP1 SLOAD DUP3 AND PUSH dc81a3450817a58d00f45c86d0368290088db848 OR SWAP1,10,TRUE,TRUE,model,7.85,16,36,7139,16,1,1,3,DUP3 SLOAD DUP1 DUP7 ADD DUP5 SSTORE DUP3 ADD PUSH dc81a3450817a58d00f45c86d0368290088db848 DUP3 DUP3 SLOAD AND OR,15,15,35,7136,TRUE,
