,block_id,previous_solution,timeout,solver_time_in_sec,outcome,initial_n_instrs,model_found,shown_optimal,initial_length,saved_length,checker,reason,solution_found,optimized_n_instrs,optimized_length
0,folder13_json_40,"local.set[local_index(1)] local.get[local_index(0)] i32.load16_u[0,3] i32.load16_u[2,5] local.get[local_index(1)] i32.store16[5,5] local.set[local_index(1)] call[function_index(0)] i32.load16_s[3,0] i32.sub local.get[local_index(0)] i32.const[49] local.get[local_index(1)]",10,0.7,optimal,13,True,True,13,0,True,,SET1 local.get_0 i32.load16_u_2 i32.load16_u_3 GET1 i32.store16_5 SET1 call[function_index(0)]_7 i32.load16_s_8 i32.sub_0 local.get_0 i32.const_0 GET1,13.0,13.0
1,folder4_json_75,"i32.const[75] local.tee[local_index(0)] local.tee[local_index(1)] i32.load[1,1]",10,0.05,optimal,4,True,True,4,0,True,,i32.const_0 TEE1 TEE2 i32.load_3,4.0,4.0
2,folder5_json_5,"local.tee[local_index(1)] local.set[local_index(1)] i32.sub local.tee[local_index(0)] i32.load16_s[0,4]",10,0.07,optimal,5,True,True,5,1,True,,SET2 i32.sub_0 TEE1 i32.load16_s_4,4.0,4.0
3,folder13_json_54,"i32.load[5,3] i32.load8_u[0,3] i32.load16_u[3,4] i32.store8[1,2] call[function_index(0)] call[function_index(1)] call[function_index(2)] local.tee[local_index(1)] local.get[local_index(0)] i32.store16[4,2] local.tee[local_index(1)] local.tee[local_index(0)] i32.load8_u[3,3]",10,0.53,optimal,13,True,True,13,1,True,,i32.load_0 i32.load8_u_1 i32.load16_u_2 i32.store8_3 call[function_index(0)]_4 call[function_index(1)]_5 call[function_index(2)]_6 GET1 i32.store16_9 TEE2 TEE1 i32.load8_u_12,12.0,12.0
4,folder4_json_61,local.tee[local_index(0)] call[function_index(0)] local.set[local_index(1)] local.get[local_index(0)],10,0.05,optimal,4,True,True,4,0,True,,TEE1 call[function_index(0)]_1 SET2 GET1,4.0,4.0
5,folder3_json_86,i32.const[22] local.set[local_index(1)] local.get[local_index(1)],10,0.04,optimal,3,True,True,3,1,True,,i32.const_0 TEE1,2.0,2.0
6,folder4_json_49,i32.add i32.const[64] local.tee[local_index(1)] local.get[local_index(0)],10,0.06,optimal,4,True,True,4,0,True,,i32.add_0 i32.const_0 TEE1 local.get_0,4.0,4.0
7,folder9_json_35,"local.set[local_index(0)] local.set[local_index(1)] local.get[local_index(1)] i32.load8_s[3,3] i32.const[53] i32.load[0,5] call[function_index(0)] local.set[local_index(0)] i32.load8_s[2,5]",10,0.22,optimal,9,True,True,9,1,True,,SET1 TEE2 i32.load8_s_3 i32.const_0 i32.load_5 call[function_index(0)]_6 SET1 i32.load8_s_8,8.0,8.0
8,folder13_json_68,"local.tee[local_index(1)] i32.load[3,5] local.set[local_index(1)] local.set[local_index(1)] local.set[local_index(0)] local.set[local_index(1)] local.get[local_index(1)] i32.store16[3,5] call[function_index(0)] i32.load[3,3] local.tee[local_index(1)] local.get[local_index(1)] i32.load16_s[5,3]",10,0.5,optimal,13,True,True,13,3,True,,i32.load_1 SET2 SET2 SET1 i32.store16_7 call[function_index(0)]_8 i32.load_9 TEE2 GET2 i32.load16_s_12,10.0,10.0
9,folder9_json_21,"i32.load8_u[4,5] local.tee[local_index(1)] i32.sub local.set[local_index(1)] i32.load8_s[1,4] i32.store[1,3] local.get[local_index(1)] i32.load[0,1] local.tee[local_index(0)]",10,0.18,optimal,9,True,True,9,1,True,,i32.load8_u_0 i32.sub_0 SET2 i32.load8_s_4 i32.store_5 GET2 i32.load_7 TEE1,8.0,8.0
