,Unnamed: 0,block_id,previous_solution,timeout,solver_time_in_sec,outcome,initial_n_instrs,model_found,shown_optimal,initial_length,used_bound,saved_length,solution_found,optimized_n_instrs,optimized_length,rules
0,0,folder3_json_0,local.set[local_index(1)] call[function_index(0)] call[function_index(1)],10,0.01,model,3,True,True,3,3,0,local.set[local_index(1)] call[function_index(0)] call[function_index(1)],3.0,3.0,
0,0,folder3_json_1,local.tee[local_index(1)] i32.sub local.get[local_index(0)],10,0.014,model,3,True,True,3,3,0,local.tee[local_index(1)] i32.sub local.get[local_index(0)],3.0,3.0,
0,0,folder3_json_2,local.tee[local_index(0)] local.set[local_index(1)] local.tee[local_index(0)],10,0.014,model,3,True,True,3,3,1,local.set[local_index(1)] local.tee[local_index(0)],2.0,2.0,
0,0,folder3_json_3,"local.set[local_index(1)] i32.load16_u[1,2] local.set[local_index(1)]",10,0.014,model,3,True,True,3,3,0,drop i32.load16_u local.set[local_index(1)],3.0,3.0,
0,0,folder3_json_4,"local.set[local_index(1)] local.get[local_index(0)] i32.store[2,1]",10,0.014,model,3,True,True,3,3,0,local.set[local_index(1)] local.get[local_index(0)] i32.store,3.0,3.0,
0,0,folder3_json_5,"local.get[local_index(0)] i32.load16_u[0,1] call[function_index(0)]",10,0.012,model,3,True,True,3,3,0,local.get[local_index(0)] i32.load16_u call[function_index(0)],3.0,3.0,
0,0,folder3_json_6,"i32.load16_u[3,5] local.get[local_index(1)] i32.load16_u[4,2]",10,0.014,model,3,True,True,3,3,0,i32.load16_u local.get[local_index(1)] i32.load16_u,3.0,3.0,
0,0,folder3_json_7,"local.tee[local_index(1)] i32.store16[5,1] i32.add",10,0.017,unsat,3,False,False,3,3,0,,,,
0,0,folder3_json_8,"i32.sub local.tee[local_index(0)] i32.load8_s[1,0]",10,0.015,model,3,True,True,3,3,0,i32.sub local.tee[local_index(0)] i32.load8_s,3.0,3.0,
0,0,folder3_json_9,"i32.const[96] local.get[local_index(1)] i32.load8_s[2,0]",10,0.01,model,3,True,True,3,3,0,i32.const[96] local.get[local_index(1)] i32.load8_s,3.0,3.0,
0,0,folder3_json_10,i32.sub call[function_index(0)] local.set[local_index(1)],10,0.015,model,3,True,True,3,3,0,i32.sub call[function_index(0)] local.set[local_index(1)],3.0,3.0,
0,0,folder3_json_11,"local.get[local_index(0)] local.set[local_index(0)] i32.store16[0,4]",10,0.011,model,3,True,True,3,3,2,i32.store16,1.0,1.0,
0,0,folder3_json_12,"i32.load8_s[3,2] local.tee[local_index(1)] i32.store8[3,3]",10,0.012,model,3,True,True,3,3,0,i32.load8_s local.tee[local_index(1)] i32.store8,3.0,3.0,
0,0,folder3_json_13,"i32.load8_u[1,4] local.set[local_index(0)] local.tee[local_index(1)]",10,0.017,model,3,True,True,3,3,0,i32.load8_u local.set[local_index(0)] local.tee[local_index(1)],3.0,3.0,
